Test loss: tensor(0.5896, device='cuda:0')accuary:0.0
Test loss: tensor(0.5690, device='cuda:0')accuary:0.0
Test loss: tensor(0.5694, device='cuda:0')accuary:0.0
Test loss: tensor(0.5653, device='cuda:0')accuary:0.0
Test loss: tensor(0.5813, device='cuda:0')accuary:0.0
Test loss: tensor(0.5624, device='cuda:0')accuary:0.0
Test loss: tensor(0.5536, device='cuda:0')accuary:0.003125
Test loss: tensor(0.5646, device='cuda:0')accuary:0.005625
Test loss: tensor(0.5502, device='cuda:0')accuary:0.005625
Test loss: tensor(0.5601, device='cuda:0')accuary:0.006875
Test loss: tensor(0.5574, device='cuda:0')accuary:0.00875
Test loss: tensor(0.5563, device='cuda:0')accuary:0.00875
Test loss: tensor(0.5574, device='cuda:0')accuary:0.011875
Test loss: tensor(0.5472, device='cuda:0')accuary:0.015
Test loss: tensor(0.5565, device='cuda:0')accuary:0.0175
Test loss: tensor(0.5440, device='cuda:0')accuary:0.02625
Test loss: tensor(0.5465, device='cuda:0')accuary:0.024375
Test loss: tensor(0.5478, device='cuda:0')accuary:0.03125
Test loss: tensor(0.5507, device='cuda:0')accuary:0.030625
Test loss: tensor(0.5443, device='cuda:0')accuary:0.03375
Test loss: tensor(0.5310, device='cuda:0')accuary:0.045625
Test loss: tensor(0.5224, device='cuda:0')accuary:0.0575
Test loss: tensor(0.5130, device='cuda:0')accuary:0.05125
Test loss: tensor(0.5048, device='cuda:0')accuary:0.0625
Test loss: tensor(0.4975, device='cuda:0')accuary:0.07
Test loss: tensor(0.4980, device='cuda:0')accuary:0.07
Test loss: tensor(0.5070, device='cuda:0')accuary:0.073125
Test loss: tensor(0.4881, device='cuda:0')accuary:0.100625
Test loss: tensor(0.4911, device='cuda:0')accuary:0.088125
Test loss: tensor(0.4790, device='cuda:0')accuary:0.1075
Test loss: tensor(0.4771, device='cuda:0')accuary:0.12625
Test loss: tensor(0.4660, device='cuda:0')accuary:0.123125
Test loss: tensor(0.4658, device='cuda:0')accuary:0.125625
Test loss: tensor(0.4607, device='cuda:0')accuary:0.145625
Test loss: tensor(0.4623, device='cuda:0')accuary:0.155
Test loss: tensor(0.4534, device='cuda:0')accuary:0.1475
Test loss: tensor(0.4512, device='cuda:0')accuary:0.13375
Test loss: tensor(0.4492, device='cuda:0')accuary:0.17125
Test loss: tensor(0.4510, device='cuda:0')accuary:0.17125
Test loss: tensor(0.4460, device='cuda:0')accuary:0.173125
Test loss: tensor(0.4405, device='cuda:0')accuary:0.186875
Test loss: tensor(0.4329, device='cuda:0')accuary:0.18375
Test loss: tensor(0.4336, device='cuda:0')accuary:0.203125
Test loss: tensor(0.4352, device='cuda:0')accuary:0.195
Test loss: tensor(0.4273, device='cuda:0')accuary:0.200625
Test loss: tensor(0.4205, device='cuda:0')accuary:0.215625
Test loss: tensor(0.4159, device='cuda:0')accuary:0.22125
Test loss: tensor(0.4188, device='cuda:0')accuary:0.22375
Test loss: tensor(0.4141, device='cuda:0')accuary:0.244375
Test loss: tensor(0.4009, device='cuda:0')accuary:0.240625
Test loss: tensor(0.4131, device='cuda:0')accuary:0.2375
